run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_conv_fraction,base_conv_fraction,fulps_recovery_t,base_recovery_t,fulps_stable_recovery_t,base_stable_recovery_t,fulps_unstable_recovery_t,base_unstable_recovery_t,fulps_recovery_fraction,base_recovery_fraction,n_affected_observers,contra_pre_mean,contra_post_mean,contra_spike,stable_fraction,mean_contra_rate
21,62,0.6151828169822693,0.5984960794448853,0.8186221718788147,0.6637227535247803,0.5988225936889648,0.5946941375732422,0.6166908740997314,0.5988465547561646,0.10169843584299088,0.10169843584299088,0.058880701661109924,0.058880701661109924,0.10564537346363068,0.10564537346363068,7.43720006942749,7.43720006942749,1.0,1.0,107.4112777709961,124.93622589111328,118.36627960205078,126.93604278564453,106.52789306640625,124.77496337890625,0.8585683297180043,0.5943600867678959,0.922,0.23759999999999998,0.28016,0.04256000000000004,0.0844,0.2920186666666667
22,63,0.6138281226158142,0.598046064376831,0.8090203404426575,0.6626144647598267,0.5983618497848511,0.5946588516235352,0.6163125038146973,0.5985901951789856,0.09769921749830246,0.09769921749830246,0.05423590913414955,0.05423590913414955,0.10468079149723053,0.10468079149723053,7.074399948120117,7.074399948120117,1.0,1.0,114.17192077636719,129.23455810546875,124.73665618896484,133.59429931640625,112.66497802734375,128.61268615722656,0.8236339404709018,0.5739671257219013,0.9004,0.22772,0.22247999999999996,-0.00524000000000005,0.1384,0.275032
23,64,0.6150375008583069,0.597922682762146,0.8111943602561951,0.6559721827507019,0.5978036522865295,0.594464898109436,0.6170808672904968,0.5983326435089111,0.10114062577486038,0.10114062577486038,0.05419369041919708,0.05419369041919708,0.10670703649520874,0.10670703649520874,7.822400093078613,7.822400093078613,1.0,1.0,110.373046875,126.47746276855469,117.22065734863281,125.50704193115234,109.65384674072266,126.57939147949219,0.821508255243195,0.5582329317269076,0.8964,0.28992000000000007,0.26464,-0.02528000000000008,0.106,0.297616
24,65,0.6119257807731628,0.5980296730995178,0.813118577003479,0.673771321773529,0.5987656712532043,0.5944164991378784,0.614916980266571,0.5988509654998779,0.09060859680175781,0.09060859680175781,0.055404629558324814,0.055404629558324814,0.0986102819442749,0.0986102819442749,6.789599895477295,6.789599895477295,1.0,1.0,107.49170684814453,125.36649322509766,118.84061431884766,130.4524383544922,105.17183685302734,124.32685089111328,0.8656195462478184,0.5938045375218151,0.9168,0.202,0.25783999999999996,0.055839999999999945,0.1852,0.24510933333333326
25,66,0.6124851703643799,0.5976062417030334,0.8034204840660095,0.6589943170547485,0.5980737209320068,0.5943762063980103,0.6141722798347473,0.5979843735694885,0.09513203054666519,0.09513203054666519,0.05809428542852402,0.05809428542852402,0.09946799278259277,0.09946799278259277,8.144000053405762,8.144000053405762,1.0,1.0,111.26900482177734,126.75888061523438,119.55813598632812,129.88836669921875,110.38147735595703,126.4238052368164,0.8133153396311291,0.5569050832208727,0.8892,0.20884,0.24152,0.032680000000000015,0.1048,0.27153333333333324
26,67,0.6154000163078308,0.5981937646865845,0.8220807909965515,0.661490797996521,0.5981874465942383,0.5945426821708679,0.6172194480895996,0.5985797047615051,0.10035468637943268,0.10035468637943268,0.0540582500398159,0.0540582500398159,0.10524847358465195,0.10524847358465195,7.019999980926514,7.019999980926514,1.0,1.0,107.21907806396484,125.7650146484375,119.73158264160156,127.34736633300781,106.07280731201172,125.62005615234375,0.8493816254416962,0.5596289752650176,0.9056,0.25620000000000004,0.30012,0.04391999999999996,0.0956,0.29823199999999994
27,68,0.6153835654258728,0.5983898639678955,0.8165841102600098,0.6644113659858704,0.5967986583709717,0.5937831997871399,0.618439257144928,0.5991472601890564,0.10039374977350235,0.10039374977350235,0.05080338194966316,0.05080338194966316,0.10854717344045639,0.10854717344045639,7.861199855804443,7.861199855804443,1.0,1.0,105.15284729003906,124.33662414550781,116.40550994873047,124.55905151367188,103.7071304321289,124.30804443359375,0.8547736441057822,0.5750784401613627,0.8924,0.27887999999999996,0.34204,0.06316000000000005,0.1412,0.302456
28,69,0.6110265851020813,0.5974804759025574,0.8077502250671387,0.6683885455131531,0.598195493221283,0.5940264463424683,0.6136994361877441,0.5981999635696411,0.089060939848423,0.089060939848423,0.05567539110779762,0.05567539110779762,0.09601558744907379,0.09601558744907379,6.690800189971924,6.690800189971924,1.0,1.0,110.31022644042969,126.2891616821289,118.35882568359375,129.75294494628906,108.89891815185547,125.68179321289062,0.8293111013602458,0.5831505046072839,0.9116,0.17196000000000003,0.22088000000000002,0.04891999999999999,0.1724,0.23520266666666667
29,70,0.6162875294685364,0.5986577868461609,0.8243468999862671,0.6630908846855164,0.5997693538665771,0.5948107242584229,0.6179772019386292,0.5990513563156128,0.10224687308073044,0.10224687308073044,0.061877019703388214,0.061877019703388214,0.10637641698122025,0.10637641698122025,7.429999828338623,7.429999828338623,1.0,1.0,102.56002044677734,123.08817291259766,115.1025619506836,126.77948760986328,101.39312744140625,122.7447509765625,0.8773461370580532,0.5953731994762113,0.9164,0.32283999999999996,0.37779999999999997,0.05496000000000001,0.0928,0.31275200000000003
30,71,0.6161500215530396,0.5987663865089417,0.8183811902999878,0.6633036732673645,0.5981410145759583,0.594459593296051,0.6184031367301941,0.599305272102356,0.1033492162823677,0.1033492162823677,0.05553760007023811,0.05553760007023811,0.10933104902505875,0.10933104902505875,7.440800189971924,7.440800189971924,1.0,1.0,108.01913452148438,125.8050765991211,115.57142639160156,126.45088958740234,107.18289947509766,125.73356628417969,0.8473520249221184,0.584334668446818,0.8988,0.29952,0.31436,0.014839999999999964,0.1112,0.314368
