run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_post_peak,gate_spike_mean,gate_spike_peak,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
21,62,0.5999187231063843,0.6197953224182129,0.6185336112976074,0.6650205850601196,0.8303834795951843,0.7855659127235413,0.08469895538599198,0.05869123070169151,0.010066490025860575,0.0025028977453005145,-0.026007724684300473,-0.0075635922805600605,0.0,0.0,0.21924000000000002,0.18804,0.2124,-0.031200000000000006,-0.006840000000000013,-0.006840000000000013,0.150642,0.5228,0.061480000000000035,0.27252,0.334,158.8074188232422,133.4283905029297,121.6760025024414,0.6192139737991267,0.8816593886462882,0.8971428571428571,0.11432578414678574,0.1992,0.3448,0.282478
22,63,0.599163293838501,0.617257833480835,0.6209140419960022,0.6629671454429626,0.8209404349327087,0.794327437877655,0.12545780409849394,0.07898359848299927,0.019978746615253035,0.009391606710162547,-0.046474205615494674,-0.010587139905090488,0.0,0.0,0.20988,0.18324,0.206,-0.026640000000000025,-0.0038800000000000223,-0.0038800000000000223,0.14749800000000002,0.5172,0.021639999999999965,0.17032000000000003,0.19196,164.4544677734375,143.4771270751953,121.64688110351562,0.6032874278098623,0.8471790315415371,0.9002967359050446,0.11945547163486481,0.2364,0.2988,0.258794
23,64,0.5991906523704529,0.6192187666893005,0.6212273240089417,0.6563076972961426,0.825996458530426,0.7916240096092224,0.1627810565574805,0.06891880084669255,0.012498372289897114,0.002112084866454247,-0.09386225571078796,-0.010386287423442867,0.0,0.0,0.20180000000000003,0.17695999999999998,0.218,-0.024840000000000056,0.016199999999999964,0.016199999999999964,0.143368,0.4732,0.010160000000000002,0.24176000000000003,0.25192000000000003,161.74459838867188,138.31219482421875,122.67447662353516,0.5852047556142669,0.8494055482166446,0.879976580796253,0.12112265825271606,0.1632,0.2836,0.285314
24,65,0.5993375182151794,0.6165679693222046,0.6153398156166077,0.6725381016731262,0.8257080912590027,0.7795645594596863,0.09986567777521549,0.035977133489006025,0.017281428071822317,0.0015923566878980893,-0.06388854428620946,-0.015689071383924228,0.0,0.0,0.26788,0.21172,0.2692,-0.056160000000000015,0.0013199999999999878,0.0013199999999999878,0.143438,0.502,0.06464000000000003,0.2278,0.29244000000000003,159.9857177734375,135.22630310058594,121.89310455322266,0.6140199048031155,0.8706187797490264,0.8881292728402734,0.10391640663146973,0.2756,0.4488,0.24717200000000003
25,66,0.5998554825782776,0.6183781027793884,0.6230843663215637,0.6622191667556763,0.8147817254066467,0.7962475419044495,0.17997671498468487,0.05289522453973215,0.015832559274698066,0.0027535993939202252,-0.1270814904449527,-0.01307895988077784,0.0,0.0,0.21408,0.18608,0.2072,-0.027999999999999997,-0.006879999999999997,-0.006879999999999997,0.14106000000000002,0.4796,0.0058,0.16068,0.16648,165.76820373535156,145.05169677734375,119.64747619628906,0.6148211977595864,0.8616975441619992,0.9089306698002351,0.12656952440738678,0.1748,0.2332,0.263316
26,67,0.6008148193359375,0.6219664216041565,0.6193101406097412,0.6671419143676758,0.8354689478874207,0.7913316488265991,0.17767075210989136,0.03836056705408821,0.012320433112928087,0.0006005754860608345,-0.13931018505580314,-0.011719857626867253,0.0,0.0,0.26152000000000003,0.21232,0.2504,-0.04920000000000002,-0.011120000000000019,-0.011120000000000019,0.14864999999999998,0.4912,0.08867999999999995,0.22328,0.31195999999999996,159.06260681152344,133.74827575683594,115.0651626586914,0.6528497409326425,0.9019861830742659,0.9316129032258065,0.11369609087705612,0.1556,0.3652,0.301402
27,68,0.5999171733856201,0.6203429698944092,0.6241835951805115,0.6639115810394287,0.8301160335540771,0.8016921281814575,0.1073611326047364,0.056679393042464686,0.005051795459932481,0.0013746125386773136,-0.05068173956227171,-0.003677182921255168,0.0,0.0,0.21968000000000001,0.17108,0.2056,-0.048600000000000004,-0.01408000000000001,-0.01408000000000001,0.144258,0.5048,0.11256000000000005,0.295,0.40756000000000003,157.60836791992188,130.92555236816406,116.37176513671875,0.6013215859030837,0.8700440528634361,0.9173859432799013,0.1292218714952469,0.1868,0.2248,0.30086
28,69,0.5985281467437744,0.6141117215156555,0.6159914135932922,0.669776201248169,0.815497636795044,0.7849864959716797,0.15048648796357492,0.03477928901882767,0.013535046898516454,0.0037361481699024314,-0.11570719894474725,-0.009798898728614024,0.0,0.0,0.244,0.19576,0.2244,-0.048240000000000005,-0.019600000000000006,-0.019600000000000006,0.145642,0.5208,0.01971999999999996,0.13808000000000004,0.1578,163.98143005371094,143.93896484375,123.63170623779297,0.6076957098628926,0.8487394957983193,0.8945172824791419,0.10474921762943268,0.2868,0.4348,0.223604
29,70,0.6000078320503235,0.6208562254905701,0.6214609146118164,0.6598045825958252,0.8324497938156128,0.7944180965423584,0.11443946997695482,0.06135814202100969,0.010414291785901668,0.0014626797621946502,-0.05308132795594513,-0.008951612023707017,0.0,0.0,0.21852,0.18712,0.2044,-0.031399999999999983,-0.014119999999999994,-0.014119999999999994,0.1462,0.5104,0.015400000000000025,0.28331999999999996,0.29872,161.32894897460938,135.82192993164062,120.60733795166016,0.5956140350877193,0.8719298245614036,0.8923547400611621,0.12153515964746475,0.1152,0.272,0.29566200000000004
30,71,0.6007726788520813,0.6212765574455261,0.6250117421150208,0.6662383079528809,0.8307005763053894,0.8029687404632568,0.10661210676165225,0.04184713059771427,0.012928269140446478,0.0010378978354387467,-0.06476497616393798,-0.011890371305007731,0.0,0.0,0.219,0.17772000000000002,0.2072,-0.04127999999999998,-0.011800000000000005,-0.011800000000000005,0.14343399999999998,0.4752,0.033040000000000014,0.21604,0.24908000000000002,160.04595947265625,137.784912109375,113.9140625,0.6405030355594102,0.8759757155247181,0.9356971153846154,0.1309148371219635,0.1592,0.1948,0.305618
