run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
31,72,0.5995023250579834,0.6197164058685303,0.6006640791893005,0.6584155559539795,0.8285265564918518,0.7297526001930237,0.17613323226733252,0.02028438730041728,0.01555759181306007,0.002980637992826836,-0.15584884496691523,-0.012576953820233234,0.0,0.0,0.45496,0.41908,-0.03587999999999997,0.322774,0.4736,0.06432000000000004,0.20292,0.26724000000000003,160.32089233398438,135.28094482421875,122.15314483642578,0.6070343030829353,0.8823273990447242,0.9319371727748691,0.06068437546491623,0.1404,0.9096,0.28900400000000004
32,73,0.5983437299728394,0.6150804758071899,0.6017047166824341,0.6623603105545044,0.8170907497406006,0.7382597923278809,0.08787001834825345,0.04522066812732225,0.011557851029883472,0.002464121740866815,-0.0426493502209312,-0.009093729289016656,0.0,0.0,0.47775999999999996,0.43767999999999996,-0.040080000000000005,0.318366,0.5164,0.035800000000000026,0.19196,0.22776000000000002,162.1902618408203,139.43096923828125,124.42194366455078,0.581858407079646,0.8482300884955752,0.9187763713080169,0.06452812254428864,0.2736,0.892,0.247778
33,74,0.5999187231063843,0.6173750162124634,0.6010085940361023,0.6709969639778137,0.8211234211921692,0.7336914539337158,0.07991594472379641,0.01941564879521172,0.015348064348800686,0.003186434554776477,-0.06050029592858469,-0.01216162979402421,0.0,0.0,0.44611999999999996,0.42031999999999997,-0.02579999999999999,0.31414200000000003,0.4928,0.01047999999999999,0.18452,0.19499999999999998,161.22317504882812,139.6071014404297,124.40853118896484,0.6442924326635314,0.8854211201368106,0.9012345679012346,0.062272656708955765,0.2064,0.9052,0.256904
34,75,0.6007968783378601,0.6218648552894592,0.6012094020843506,0.6631352305412292,0.8268933296203613,0.7373142838478088,0.21816708705961013,0.020226976002928016,0.012727553438766956,0.0035964262121475432,-0.1979401110566821,-0.009131127226619414,0.0,0.0,0.49056,0.4138,-0.07676,0.32281999999999994,0.4908,0.026599999999999985,0.19288,0.21947999999999998,162.61203002929688,140.689453125,124.4273910522461,0.6353806228373703,0.8719723183391004,0.9232585596221959,0.06173437461256981,0.1836,0.9164,0.30059
35,76,0.6001929640769958,0.6207476854324341,0.6010148525238037,0.6608156561851501,0.8286346793174744,0.731288731098175,0.08947003173923444,0.016462822195501093,0.010951768648026891,0.005323701857785742,-0.07300720954373335,-0.00562806679024115,0.0,0.0,0.4875999999999999,0.44268,-0.044919999999999904,0.34277599999999997,0.5048,0.06864000000000003,0.28676,0.35540000000000005,158.6967315673828,133.6233367919922,124.94386291503906,0.6312997347480106,0.883289124668435,0.928654970760234,0.061406251043081284,0.136,0.9056,0.302506
36,77,0.5994828343391418,0.6186515688896179,0.6009562611579895,0.6574522256851196,0.8193322420120239,0.7323839664459229,0.0952925837829395,0.014251631011938291,0.020452594862805238,0.00486647544830772,-0.0810409527710012,-0.015586119414497519,0.0,0.0,0.4537999999999999,0.41452,-0.039279999999999926,0.320672,0.4924,-0.07543999999999998,0.2408,0.16536,166.93356323242188,146.67303466796875,129.84429931640625,0.5861919235779418,0.827181936604429,0.8934169278996865,0.06236249953508377,0.1268,0.894,0.271944
37,78,0.5978687405586243,0.6127273440361023,0.6013890504837036,0.6637884974479675,0.8075704574584961,0.7364222407341003,0.11675162973086689,0.014563414440846825,0.016003939350436844,0.003020522967646051,-0.10218821529002006,-0.012983416382790793,0.0,0.0,0.46563999999999994,0.43456,-0.03107999999999994,0.319538,0.4956,0.022280000000000022,0.16319999999999998,0.18548,166.6310272216797,146.2476348876953,127.08280944824219,0.5539016689219666,0.7983761840324763,0.9025157232704403,0.06426171958446503,0.3076,0.8892,0.22127
38,79,0.6004953384399414,0.621806263923645,0.6010234355926514,0.6649724841117859,0.8338783383369446,0.7359417080879211,0.0891088164908583,0.01031131806184765,0.010890785307611206,0.003424978037147823,-0.07879749842901065,-0.007465807270463382,0.0,0.0,0.47084000000000004,0.43756000000000006,-0.033279999999999976,0.331974,0.4664,0.062319999999999987,0.33764,0.39996,158.8842315673828,131.14007568359375,127.0093002319336,0.62129916040654,0.8851082633672117,0.9132231404958677,0.06195468828082085,0.1836,0.9176,0.30829799999999996
39,80,0.5985000133514404,0.6158343553543091,0.6016937494277954,0.663486123085022,0.8226824402809143,0.7387234568595886,0.08383899463207442,0.024861985531070847,0.010367412143530623,0.010767937192801776,-0.05897700910100358,0.00040052504927115366,0.0,0.0,0.48891999999999997,0.4436800000000001,-0.04523999999999989,0.318284,0.5104,0.033639999999999975,0.19460000000000002,0.22824,162.2746124267578,139.527587890625,130.38075256347656,0.5832229580573951,0.8467991169977925,0.9048128342245989,0.06386484205722809,0.23,0.906,0.24784399999999998
40,81,0.6004781126976013,0.6216250061988831,0.6008281111717224,0.6646737456321716,0.8322111368179321,0.7339924573898315,0.07478353365867174,0.023822607006011052,0.011145271351013218,0.002998294790942043,-0.05096092665266069,-0.008146976560071175,0.0,0.0,0.4394,0.41144,-0.02796000000000004,0.302264,0.5048,0.045999999999999985,0.27287999999999996,0.31887999999999994,160.4357452392578,135.40199279785156,125.9787826538086,0.6321938554738209,0.8801384681955863,0.8874538745387454,0.06179453060030937,0.174,0.904,0.30450200000000005
